"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J4";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Conn_02x04_Odd_Even";;;
2;"C1";"C_0603";1;"10nF";;;
3;"C2,C4,C5,C6";"C_0603";4;"0.1uF";;;
4;"C3,C7";"SMD-1206_Pol";2;"10uF";;;
5;"D1";"LED_0603";1;"Green";;;
6;"J1,J2,J3,J7";"Pin_Header_Straight_1x01_Pitch2.54mm";4;"Conn_01x01";;;
7;"J6";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03";;;
8;"JP1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
9;"Q1";"Resonator_smd";1;"Resonator";;;
10;"R1";"R_0603";1;"1M";;;
11;"R2";"R_0603";1;"330";;;
12;"R3";"R_0603";1;"10k";;;
13;"R4,R5";"R_0603";2;"R";;;
14;"SW1";"reed";1;"SW_Reed";;;
15;"U2";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA328-A";;;
16;"U1";"si7021";1;"Si7021";;;
17;"J5";"Pin_Header_Straight_1x08_Pitch1.27mm_SMD";1;"Conn_01x08";;;
